time,RAD_2FIC6260_M,RAD_2SIC6853_M,RAD_2SP_HIC_ONP:2HCV6962.OUT,RAD_2SP_WATT_ONP:EIC6854AUTO.RO03,RAD_2EIC6854_M
2017-05-17 19:00:00,2726.200012,17.37187576,58,35.04651068,317.1164152
2017-05-17 20:00:00,2735.547201,17.37187576,58,35.02162792,318.3383264
2017-05-17 21:00:00,2698.780741,17.37187576,58,36.4394467,318.1841063
2017-05-17 22:00:00,2656.703023,17.37187576,58,37.40025527,329.9041865
2017-05-17 23:00:00,2643.26511,17.37187576,58,37.00787225,324.9966161
2017-05-18 00:00:00,2697.830282,17.37187576,58,36.77858343,329.5970222
2017-05-18 01:00:00,2692.672729,17.37187576,58,36.30748709,324.7789819
2017-05-18 02:00:00,2736.531291,17.37187576,58,35.91972801,330.0597186
2017-05-18 03:00:00,2714.912008,17.37187576,58,35.14640094,320.3312411
2017-05-18 04:00:00,692.8777737,4.205737428,13.29166667,6.861411953,72.31140057
2017-05-18 05:00:00,201.8692186,0.059705416,0,0,0.266221038
2017-05-18 06:00:00,1344.325451,8.438607453,24.34750001,12.89377538,114.6908221
2017-05-18 07:00:00,2673.740072,17.37246132,57,36.36748912,326.4960233
2017-05-18 08:00:00,2709.848531,17.37246132,57,36.48235397,331.0621947
2017-05-18 09:00:00,2711.424113,17.37246132,57,36.129341,329.0322393
2017-05-18 10:00:00,2693.866252,17.37246132,57,35.54570795,317.0486212
2017-05-18 11:00:00,2573.620382,17.37246132,57,36.41454458,314.9422722
2017-05-18 12:00:00,2553.621521,17.37246132,57,37.36653398,320.7175621
2017-05-18 13:00:00,2739.528931,17.37246132,57,36.22787191,332.7785259
2017-05-18 14:00:00,2759.19161,17.37246132,57,34.95358405,323.0227389
2017-05-18 15:00:00,2739.591756,17.37246132,56.10416667,37.21933088,318.3976593
2017-05-18 16:00:00,2586.077983,17.37246132,57,36.62867239,317.9060366
2017-05-18 17:00:00,2681.585775,17.37246132,57,36.33435523,326.9452454
2017-05-18 18:00:00,2652.806356,17.37246132,57,35.69192877,317.9850745
2017-05-18 19:00:00,2549.378296,17.37246132,57,37.71704124,320.0402606
2017-05-18 20:00:00,2516.606242,17.37246132,57,38.61618892,326.5152061
2017-05-18 21:00:00,2512.722229,17.37246132,57,38.1543687,321.8228401
2017-05-18 22:00:00,2510.123169,17.37246132,57,38.18200359,318.0443104
2017-05-18 23:00:00,2311.740506,17.37246132,55.18791668,29.6121831,249.9321559
2017-05-19 00:00:00,2648.134251,17.37246132,58,35.354798,314.4986654
2017-05-19 01:00:00,2638.772563,17.37246132,58,35.77947187,317.0235402
2017-05-19 02:00:00,2628.572021,17.37246132,58,35.91421623,317.0972781
2017-05-19 03:00:00,2723.29411,17.37246132,58,35.50256406,324.3927471
2017-05-19 04:00:00,2714.752028,17.37246132,57.61499999,34.86117349,317.6827593
2017-05-19 05:00:00,2682.202047,17.37246132,56,35.22777831,317.3395014
2017-05-19 06:00:00,2707.838257,17.37246132,56.18500001,35.2944622,321.29048
2017-05-19 07:00:00,2750.50588,17.37246132,58,35.06346827,320.7748007
2017-05-19 08:00:00,2722.826925,17.37246132,58,34.55999408,316.7738665
2017-05-19 09:00:00,2667.140299,17.37246132,58,34.93871997,313.1307201
2017-05-19 10:00:00,2718.368083,17.37246132,58,35.66374416,325.3816184
2017-05-19 11:00:00,2724.458598,17.37246132,58,35.13690142,319.377007
2017-05-19 12:00:00,1570.038533,17.37246132,39.25583334,19.58683343,183.0691801
2017-05-19 13:00:00,2462.314514,17.37246132,56.11041667,40.51299777,333.6162945
2017-05-19 14:00:00,2483.317993,17.37246132,55,37.33172634,311.2895301
2017-05-19 15:00:00,2544.119527,17.37246132,53.89583333,39.60556018,306.6782042
2017-05-19 16:00:00,1961.264655,17.37246132,46.83999999,30.48320517,229.3149335
2017-05-19 17:00:00,2575.610372,17.37246132,57.24083333,38.09720146,329.5487836
2017-05-19 18:00:00,2550.422221,17.37246132,57,37.48536334,320.9259038
2017-05-19 19:00:00,2667.587504,17.37246132,57.29583333,36.07128061,323.0079544
2017-05-19 20:00:00,2591.303101,17.37246132,58,35.91872156,312.6692816
2017-05-19 21:00:00,2648.358317,17.37246132,58,37.64770686,331.1258519
2017-05-19 22:00:00,2759.186178,17.37246132,58,35.49137403,323.5864437
2017-05-19 23:00:00,2777.732869,17.37246132,58,34.76516856,319.1048655
2017-05-20 00:00:00,2730.385234,17.37246132,57.6,35.05340505,316.1353046
2017-05-20 01:00:00,2674.069769,17.37246132,56.5625,35.85355396,316.9033792
2017-05-20 02:00:00,2623.490865,17.37246132,55,36.79288119,319.1453714
2017-05-20 03:00:00,2706.691833,17.37246132,56.5875,36.25119823,324.103097
2017-05-20 04:00:00,2841.114482,17.37246132,58,34.44650656,317.433507
2017-05-20 05:00:00,2738.724569,17.37246132,56.50833333,35.96763988,321.5702873
2017-05-20 06:00:00,2712.551534,17.37246132,57.09166667,35.97149812,322.7199679
2017-05-20 07:00:00,2677.715841,17.37246132,59.70833333,36.0418836,318.9925897
2017-05-20 08:00:00,2368.143785,17.37246132,51.80416667,36.24912849,271.7222178
2017-05-20 09:00:00,2279.888387,17.37246132,48.3125,34.07496842,278.0697577
2017-05-20 10:00:00,2650.512126,17.37246132,56.70166667,36.99654975,323.9298539
2017-05-20 11:00:00,2608.215902,17.37246132,57,37.05492442,319.407952
2017-05-20 12:00:00,2727.225321,17.37246132,57,35.08037361,315.9842445
2017-05-20 13:00:00,2705.421407,17.37246132,57.14624999,36.0580426,322.6778239
2017-05-20 14:00:00,2686.754211,17.37246132,60,36.06224382,315.8922098
2017-05-20 15:00:00,2678.915426,17.37246132,59.183125,35.81692765,317.0793653
2017-05-20 16:00:00,2814.552368,17.37246132,57.90916667,34.69195901,322.8271922
2017-05-20 17:00:00,2694.755351,17.37246132,58,34.9280357,311.6212973
2017-05-20 18:00:00,2763.259094,17.37246132,58,34.89800647,318.7264474
2017-05-20 19:00:00,2757.57843,17.37246132,58,34.51655075,314.5942548
2017-05-20 20:00:00,2722.37793,17.37246132,58,35.27690739,316.7805278
2017-05-20 21:00:00,2760.339945,17.37246132,58,34.81619276,317.8594674
2017-05-20 22:00:00,2800.999715,17.37246132,58,34.35921861,318.3461299
2017-05-20 23:00:00,2721.884882,17.37246132,58,34.54917306,311.0177617
2017-05-21 00:00:00,2771.697449,17.37246132,58,34.28697216,313.7965207
2017-05-21 01:00:00,2717.462321,17.37246132,58,35.14118598,315.7537444
2017-05-21 02:00:00,2608.829081,17.37246132,58,36.62538426,315.0670171
2017-05-21 03:00:00,2757.206014,17.37246132,58,35.89788827,319.6797574
2017-05-21 04:00:00,2705.784526,17.37246132,59.675,36.39048869,320.080943
2017-05-21 05:00:00,2708.30658,17.37246132,60,35.79527728,320.1898818
2017-05-21 06:00:00,2196.145684,17.37246132,52.17708333,33.13375649,255.7023764
2017-05-21 07:00:00,1549.303386,17.37246132,31.56708333,13.15216678,109.3943445
2017-05-21 08:00:00,2521.022522,17.37246132,55,39.3759195,327.7190965
2017-05-21 09:00:00,2549.2712,17.37246132,55.35416667,37.86773135,319.0309324
2017-05-21 10:00:00,2690.059855,17.37246132,60,36.39227897,323.6089224
2017-05-21 11:00:00,2613.217733,17.37246132,58.95833333,36.41271,314.3262652
2017-05-21 12:00:00,2659.320658,17.37246132,58,36.52401652,320.1089555
2017-05-21 13:00:00,2613.240234,17.37246132,58,36.38225765,314.2151263
2017-05-21 14:00:00,2677.560384,17.37246132,58,36.74299868,325.0791007
2017-05-21 15:00:00,2727.612671,17.37246132,58,35.90552066,323.6922371
2017-05-21 16:00:00,2702.842367,17.37246132,58,35.53427382,317.4332675
2017-05-21 17:00:00,2665.939764,17.37246132,58,35.82044815,315.4422766
2017-05-21 18:00:00,2726.644694,17.37246132,58,35.73152315,322.3133559
2017-05-21 19:00:00,2746.704523,17.37246132,58,35.76096006,324.6595662
2017-05-21 20:00:00,2740.149679,17.37246132,58,35.2745261,319.7652293
2017-05-21 21:00:00,2719.708017,17.37246132,58,36.03613906,324.1957668
2017-05-21 22:00:00,2709.88444,17.37246132,58,35.72536198,320.090056
